contract_id,summary,termination_clause,confidentiality_clause,liability_clause,source_path
DigitalCinemaDestinationsCorp_20111220_S-1_EX-10.10_7346719_EX-10.10_Affiliate Agreement,"This Affiliate Agreement, dated December 20, 2011, between Digital Cinema Destinations Corp. (NCM) and an unnamed party, outlines the terms for their business relationship. The purpose is to establish the terms for NCM's affiliate program. Key obligations include NCM providing digital cinema services, and the other party promoting these services and sharing revenue. The other party's liability is limited to the amount of net revenue received by NCM during the five years preceding any liability, less any amounts paid by NCM for previous events of liability. Notable risks and penalties include the other party's breach of confidentiality, which could result in equitable relief, and the limitation of damages to direct damages only, with no liability for indirect, special, consequential, punitive, exemplary, or extra-contractual damages. The agreement is the complete and exclusive statement of the agreement between the parties, and can only be amended with mutual written agreement.",Either party can terminate this agreement immediately by providing written notice.,"Each party must keep the other party's Confidential Information confidential, except for disclosures required by law or court order, and must provide prior written notice. The Confidential Information can be used only to fulfill the obligations under this Agreement.","Neither party will be liable for indirect, special, consequential, punitive, exemplary, or extra-contractual damages of any kind, including lost profits, lost revenues, or loss of business, regardless of legal theory, whether or not foreseeable, even if advised of the possibility or probability of such damages. The remedies provided by this agreement and the provisions of this agreement allocate the risks of this agreement between the parties, some of which may be unknown or unknowable. These limitations are a material inducement for the parties to this agreement to enter into this agreement, and the parties to this agreement agree to be bound by these limitations.",dataset\DigitalCinemaDestinationsCorp_20111220_S-1_EX-10.10_7346719_EX-10.10_Affiliate Agreement.pdf
EbixInc_20010515_10-Q_EX-10.3_4049767_EX-10.3_Co-Branding Agreement,"This Co-Branding Agreement, dated May 15, 2001, between Ebix Inc. and About, outlines the terms for a partnership to jointly market and sell insurance products. Key obligations include Ebix providing tools and services, and About easing, transferring, disseminating, displaying, or otherwise disclosing customer data to Ebix. Each party is responsible for complying with applicable laws regarding taxes, employment, and benefits. The agreement includes a confidentiality clause, with penalties for breach of confidentiality. The agreement can be terminated under certain conditions, and provisions regarding liability and ownership of intellectual property are included. Certain sections of the agreement have been redacted due to confidential treatment requests.","eBix has the right to terminate this agreement, with conditions, at a specified time after the effective date of the agreement.",Confidentiality: Confidential treatment has been requested for portions of this document.,Limitation of Liability: Confidential treatment has been requested for portions of this document. The redacted material has been filed with,dataset\EbixInc_20010515_10-Q_EX-10.3_4049767_EX-10.3_Co-Branding Agreement.pdf
EdietsComInc_20001030_10QSB_EX-10.4_2606646_EX-10.4_Co-Branding Agreement,"This Co-Branding Agreement (EdietsComInc_20001030_10QSB_EX-10.4_2606646_EX-10.4) outlines a partnership between two parties for mutual branding purposes. Key obligations include maintaining confidentiality of shared information, performing duties in compliance with the agreement, and not violating any existing agreements. Each party represents and warrants they have the authority to enter into the agreement, and the agreement will be legally binding.

The agreement includes a liability limitation, where neither party will be liable for indirect, special, incidental, or consequential damages, with total liability not exceeding fees paid in the previous 12 months. However, this limitation does not apply to indemnification obligations. The agreement also specifies termination conditions, where either party can terminate with a 30-day notice if the other party materially breaches the agreement and fails to rectify within 30 days. Upon termination, parties must return all intellectual property, Confidential Information, and eDiets Content used in connection with the agreement.",This Agreement can be terminated by either party with a 30-day written notice if the other party materially breaches any terms and fails to rectify the breach within 30 days.,"The party must keep Confidential Information confidential and use it only for the purposes explicitly allowed in this Agreement. Disclosures are limited to employees, agents, and contractors with a need to know and who are bound by confidentiality obligations. The party must not disclose or use Confidential Information disclosed by the other party except as expressly permitted in this Agreement. The party must take reasonable measures to maintain the confidentiality of all Confidential Information of the other party.","Neither party will be liable for indirect, special, incidental, or consequential damages, including loss of profits. The total liability for each party will not exceed the fees paid in the previous 12 months. The liability limitations in this agreement do not apply to the indemnification obligations in Sections 2.6 and 13.",dataset\EdietsComInc_20001030_10QSB_EX-10.4_2606646_EX-10.4_Co-Branding Agreement.pdf
ElPolloLocoHoldingsInc_20200306_10-K_EX-10.16_12041700_EX-10.16_Development Agreement,"This Development Agreement between El Pollo Loco Holdings Inc. and Developer outlines the terms for the development of El Pollo Loco restaurants. The key obligations include the Developer's exclusive rights to operate within a specified territory, adherence to the Franchisor's standards, and the obligation to indemnify and hold harmless the Franchisor from losses resulting from Developer's activities. Notable risks for the Developer include potential termination or modification of exclusive rights, confidentiality obligations, and liability for employee-related claims. Penalties for breaching the covenants not to compete could result in immediate and irreparable injury to Franchisor.","Franchisor has the right to terminate or modify the rights of the Developer regarding protected exclusive rights in the Territory, with a notice period of 10 days.",Developer must keep Franchisor's Confidential Information confidential and not use it in violation of the covenants not to compete set forth in the Agreement.,"Developer is liable to indemnify and hold harmless the Franchisor from any losses resulting from Developer's activities under the Development Agreement, including employee-related claims.",dataset\ElPolloLocoHoldingsInc_20200306_10-K_EX-10.16_12041700_EX-10.16_Development Agreement.pdf
EmbarkComInc_19991008_S-1A_EX-10.10_6487661_EX-10.10_Co-Branding Agreement,"This Co-Branding Agreement between Embark Com Inc and Snap, dated October 8, 1999, outlines a partnership for a specified period, during which they will collaborate on branding and marketing initiatives. Key obligations include Snap representing and warranting its authority and compliance with laws, and both parties taking reasonable measures to protect each other's confidential information.

The agreement allows for termination by either party with a 60-day written notice in case of breach, or immediately in case of bankruptcy or similar proceedings. Notable risks include potential legal action for breach of confidentiality, with the affected party seeking injunctive relief in addition to other remedies.

Both parties are independent contractors and cannot assign the agreement without the other's prior written consent. The agreement also includes a force majeure clause, absolving either party from default or breach in case of certain unforeseen events.","The contract can be terminated by either party with a 60-day written notice if there is a breach. The contract can also be terminated immediately if the other party fails to operate normally, files for bankruptcy, assignment for creditors, corporate dissolution, or similar proceedings.","The party receiving confidential information must keep it confidential and use it only to perform the Agreement. Disclosures are limited to need-to-know employees bound by similar confidentiality obligations. In case of a breach, the other party may seek injunctive relief in addition to other remedies. The confidentiality restrictions do not apply to information that is in the public domain, disclosed by a third party legally entitled to do so, or independently developed.","In case of a breach of the confidentiality clause, the affected party may seek and enforce injunctive relief to stop the breach or threatened breach.",dataset\EmbarkComInc_19991008_S-1A_EX-10.10_6487661_EX-10.10_Co-Branding Agreement.pdf
EmeraldHealthBioceuticalsInc_20200218_1-A_EX1A-6 MAT CTRCT_11987205_EX1A-6 MAT CTRCT_Development Agreement,"This Development Agreement between Emerald Health Bioceuticals Inc. (EHS) and Dr. Murray, effective from February 18, 2020, outlines terms for a collaboration. Key obligations include Dr. Murray providing services until December 31, 2018, with automatic renewal for two-year terms thereafter. EHS and Dr. Murray must maintain confidentiality regarding shared proprietary information, excluding information that is publicly known or independently developed. Neither party is liable for indirect, special, incidental, or consequential damages, with total liability not exceeding fees paid in the previous 12 months. The agreement can be terminated by either party, with surviving sections including confidentiality, force majeure, and certain other provisions.","Termination: This Agreement can be terminated by either party (Dr. Murray or EHS/EHN) in accordance with Section 6.2. Upon termination by Dr. Murray, all rights and obligations cease except for Sections 4, 5 (if obligations have accrued prior to termination), 7, 8, and 9. Upon termination by EHS or EHN, all rights and obligations cease except for Sections 2.1, 3.1, 3.2, 4.1, 5.3, 7, 8, and 9.","Parties shall keep Confidential Information confidential and not disclose it to third parties, except as required by law. Confidential Information includes proprietary information, technical data, trade secrets or know-how, research, product plans, etc. It does not include information that is publicly known, obtained from another without breach of confidentiality, or independently developed.","Neither party will be liable for indirect, special, incidental, or consequential damages, including loss of profits. The total liability of each party for claims related to this Agreement will not exceed the fees paid in the previous 12 months.",dataset\EmeraldHealthBioceuticalsInc_20200218_1-A_EX1A-6 MAT CTRCT_11987205_EX1A-6 MAT CTRCT_Development Agreement.pdf
EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement,"Title: Development Agreement between Eton Pharmaceuticals Inc. and Aucta Pharmaceuticals Inc. Purpose: This agreement outlines the terms for a development partnership between Eton Pharmaceuticals Inc. and Aucta Pharmaceuticals Inc. for the development of certain products. Key Obligations: Eton Pharmaceuticals Inc. is responsible for the development, manufacturing, and marketing of the products. Aucta Pharmaceuticals Inc. grants exclusive rights to the products and provides technical and regulatory support. Both parties agree to maintain the confidentiality of each other's information. Notable Risks/Penalties: Either party can terminate the agreement if the other is in material breach or default. If terminated by Aucta, Eton Pharmaceuticals Inc. can keep any payments made up to the point of termination and market or dispose of any existing inventory. If terminated by Eton, Aucta may keep payments and revert all rights granted to Eton. Both parties are not liable for indirect, special, incidental, consequential, or exemplary damages related to","This Agreement can be terminated by either party with written notice if the other party is in material breach or default of any obligations, representations, or warranties.","The definition of Confidential Information is provided. It includes any confidential information related to the parties' business, this agreement, its terms, or other technical, business, or financial information provided as per the agreement. It does not include information that becomes publicly available except due to disclosure by the receiving party.","Neither party will be liable for any indirect, special, incidental, consequential or exemplary damages, whether foreseeable or not, related to this Agreement.",dataset\EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement.pdf
FuelcellEnergyInc_20191106_8-K_EX-10.1_11868007_EX-10.1_Development Agreement,"This Development Agreement, dated November 6, 2019, between FuelCell Energy Inc. (FCE) and an undisclosed partner, outlines a collaborative effort for one or more projects within a specified timeframe (Term). The projects' details are described in mutually agreed upon documents (Project Descriptions). FCE retains control over the projects and any intellectual property arising from them. Both parties agree to maintain confidentiality of shared information, with exceptions for disclosures by third parties or situations where the information is independently developed. Breaches of confidentiality may result in penalties. Each party warrants that entering into this agreement does not conflict with any other obligations and that they have obtained necessary approvals. The agreement also includes provisions for termination, force majeure, and indemnification, among others. Notably, neither party is liable for consequential damages, except for breaches of confidentiality or restricted use provisions.",This contract includes a termination clause that outlines post-termination rights and obligations in Article 12.,"The Receiving Party must keep Confidential Information confidential, except for cases where the information is: a) disclosed by a third party legally entitled to provide it, b) independently developed by the Receiving Party's employees or agents without access to information provided by the Disclosing Party, c) released from the confidentiality obligations by the Disclosing Party's written authorization. Failure to adequately protect Confidential Information prior to the exception will not be excused. More specific Confidential Information is not within the scope of this Agreement.","Parties are not liable for consequential, indirect, special, incidental, punitive or exemplary damages, including business interruption, cost of capital, loss of anticipated revenues and profits, loss of goodwill or increased operating costs, except for breach of confidentiality or restricted use provisions and as provided in Paragraph 11.04.",dataset\FuelcellEnergyInc_20191106_8-K_EX-10.1_11868007_EX-10.1_Development Agreement.pdf
HarpoonTherapeuticsInc_20200312_10-K_EX-10.18_12051356_EX-10.18_Development Agreement_Option Agreement,"This Development and Option Agreement between Harpoon Therapeutics Inc. and AbbVie outlines a collaboration for the development of certain compounds. Harpoon is responsible for preparing and obtaining necessary INDs, while AbbVie will provide financial support. Both parties must maintain confidentiality and are not liable for certain types of damages. The agreement can be terminated at any time, but any rights that have accrued prior to termination will still be valid. Notable risks include potential financial losses due to the limited liability clause and potential breaches of confidentiality.",This Agreement can be terminated for any reason. Any rights that have accrued prior to termination will still be valid. Termination does not release a party from obligations that are explicitly stated to survive the termination.,The receiving party must keep confidential all disclosed confidential information and use it only to perform the agreement. Disclosures are limited to need-to-know employees bound by similar confidentiality obligations.,"Neither party nor its affiliates will be liable for indirect, incidental, special, exemplary, punitive, or consequential damages, including loss of profits or business interruption. This applies regardless of the cause, theory of liability, and whether it's in contract, tort, negligence, breach of statutory duty, or otherwise, and even if advised of the possibility of such damages.",dataset\HarpoonTherapeuticsInc_20200312_10-K_EX-10.18_12051356_EX-10.18_Development Agreement_Option Agreement.pdf
HealthcentralCom_19991108_S-1A_EX-10.27_6623292_EX-10.27_Co-Branding Agreement,"Title: Co-Branding Agreement between Healthcentral Com and MLX (1999) This Co-Branding Agreement, dated November 8, 1999, outlines the terms and conditions for a partnership between Healthcentral Com and MLX. The primary purpose is to jointly develop, promote, and distribute co-branded products. Key Obligations: - Healthcentral Com is responsible for providing certain services, while MLX will supply products for co-branding. - Both parties must maintain confidentiality regarding any information, data, and reports obtained in connection with the Agreement. - Each party is responsible for their respective performance and any delays or failures due to force majeure events are excused. - Upon termination, parties must cease using each other's trademarks, return all property, and remove special links from their products. - Each party may only assign this Agreement with the prior written consent of the other, except in cases of assignment to affiliates or purchasers of all or substantially all of their","This Agreement can be terminated by either party with a 30-day written notice if the other party breaches a significant term and fails to correct it within 30 days, or if mutually agreed terms are not agreed upon. It can also be terminated immediately without notice in case of insolvency, receivership, bankruptcy proceedings, or other insolvency events.","Parties must keep confidential any information, data, and reports obtained in connection with the Agreement, unless the information was already public, received from a third party without a duty to keep confidential, or developed independently or approved for release in writing by the disclosing Party.","No indirect, incidental, consequential, special or exemplary damages; liability capped at the subject matter of the agreement.",dataset\HealthcentralCom_19991108_S-1A_EX-10.27_6623292_EX-10.27_Co-Branding Agreement.pdf
HfEnterprisesInc_20191223_S-1_EX-10.22_11931299_EX-10.22_Development Agreement,"This Development Agreement, dated December 23, 2019, between Hf Enterprises Inc. (Developer) and DSS, outlines the terms for the development of a project. The key obligations of DSS include providing the Technology, which is its sole and exclusive property, and ensuring it has the authority to enter into the agreement. The Developer's obligations include using the Technology to develop the project and keeping it confidential for five years post-agreement term. Notable risks and penalties include termination of Developer's rights upon the sale or transfer of its assets or a majority interest, breach of agreement leading to irreparable damages and potential legal action, and liability for reasonable attorney's fees and costs in the event of a breach. The agreement also includes a Mutual Non-Disclosure Agreement (NDA) attached as Exhibit A.","Termination: The rights of Developer under this Agreement will terminate upon the sale or transfer of all or substantially all of Developer's assets or a majority or controlling interest in Developer, unless previously approved in writing by DSS.",Parties are bound by the terms of a Mutual Non-Disclosure Agreement (NDA) for five years after the agreement term. The NDA is attached as Exhibit A.,"Liability: The breaching party may be liable for irreparable damages, and the non-breaching party may seek injunctive relief and specific performance. The breaching party will also pay reasonable attorney's fees and costs.",dataset\HfEnterprisesInc_20191223_S-1_EX-10.22_11931299_EX-10.22_Development Agreement.pdf
IbioInc_20200313_8-K_EX-10.1_12052678_EX-10.1_Development Agreement,"Title: Development Agreement between iBio Inc. and CC-Pharming

This agreement outlines the terms for a joint development project between iBio Inc. and CC-Pharming. Key obligations include each party's responsibility to perform their respective tasks and meet milestones as set forth in a Statement of Work. Notable risks include potential termination due to breach or non-performance, with a 30-day notice period and liability only if the breach is not cured within that time. Confidentiality is also a significant aspect, with both parties agreeing to limit disclosure of Confidential Information for 5 years from the signing date. In case of disputes, designated executives from both parties will attempt resolution, and the prevailing party may recover reasonable attorneys' fees and costs.","Termination: Either party can terminate the Agreement if the other party fails to perform or violates any material obligation, given a 30-day written notice. The termination is without liability unless the breaching party cures the breach within the notice period.",Parties agree to limit disclosure of Confidential Information for 5 years from the signing date.,"If a claim, suit, action, or proceeding is initiated against a party related to this Agreement, the prevailing party is entitled to recover their reasonable attorneys' fees, expert fees, expenses, and court costs from the non-prevailing party.",dataset\IbioInc_20200313_8-K_EX-10.1_12052678_EX-10.1_Development Agreement.pdf
ImpresseCorp_20000322_S-1A_EX-10.11_5199234_EX-10.11_Co-Branding Agreement,"This Co-Branding Agreement (ImpresseCorp_20000322_S-1A_EX-10.11_5199234_EX-10.11) outlines a partnership between two parties for a specified term. The key obligations include Impresse's payment obligations for the duration of the agreement, maintaining confidentiality of each other's information, and neither party binding the other or assuming responsibility for their actions. The agreement can be terminated immediately if there is a material breach. Notable risks and penalties include potential legal action for breach of confidentiality and financial penalties for late payments, with interest accruing at a rate of 1% per month or the maximum permitted by law. Both parties are independent contractors and have no employer-employee, agency, joint venture, or partnership relationship.",This Agreement can be terminated by either party immediately upon written notice if there is a material breach.,"Each party must keep the other party's confidential information confidential and not disclose it to third parties, except to employees, representatives, and agents who need to know the information for the purpose of fulfilling the agreement. The parties must also ensure the confidentiality of the confidential information and not use it for any purpose other than to fulfill their obligations under the agreement.","Neither party has the authority to bind the other party, alter terms, warrant or execute agreements, or represent responsibility for the other party's acts, debts, liabilities, or omissions.",dataset\ImpresseCorp_20000322_S-1A_EX-10.11_5199234_EX-10.11_Co-Branding Agreement.pdf
